date,open,high,low,close,VOLUME
07-Jun-21,15725.1,15773.45,15678.1,15751.65,0
08-Jun-21,15773.9,15778.8,15680,15740.1,0
09-Jun-21,15766.3,15800.45,15566.9,15635.35,0
10-Jun-21,15692.1,15751.25,15648.5,15737.75,0
11-Jun-21,15796.45,15835.55,15749.8,15805,0
14-Jun-21,15791.4,15823.05,15606.5,15811.85,0
15-Jun-21,15866.95,15901.6,15842.4,15869.25,0
16-Jun-21,15847.5,15880.85,15742.6,15767.55,0
17-Jun-21,15648.3,15769.35,15616.75,15680.3,0
18-Jun-21,15756.5,15761.5,15450.9,15683.35,0
21-Jun-21,15525.85,15765.15,15505.65,15746.5,0
22-Jun-21,15840.5,15895.75,15752.1,15772.75,0
23-Jun-21,15862.8,15862.95,15673.95,15686.95,0
24-Jun-21,15737.3,15821.4,15702.7,15794.15,0
25-Jun-21,15839.35,15870.8,15772.3,15860.35,0
28-Jun-21,15915.35,15915.65,15792.15,15814.7,0
29-Jun-21,15807.5,15835.9,15724.05,15749.55,0
30-Jun-21,15776.9,15839.1,15708.75,15721.5,0
01-Jul-21,15755.05,15755.55,15667.05,15680,0
02-Jul-21,15705.85,15738.35,15635.95,15722.2,0
05-Jul-21,15793.4,15845.95,15762.05,15834.35,0
06-Jul-21,15813.75,15914.2,15801,15818.25,0
07-Jul-21,15819.6,15893.55,15779.7,15879.65,0
08-Jul-21,15855.4,15885.75,15682.9,15727.9,0
09-Jul-21,15688.25,15730.85,15632.75,15689.8,0
12-Jul-21,15766.8,15789.2,15644.75,15692.6,0
13-Jul-21,15794,15820.8,15744.6,15812.35,0
14-Jul-21,15808.7,15877.35,15764.2,15853.95,0
15-Jul-21,15872.15,15952.35,15855,15924.2,0
16-Jul-21,15958.35,15962.25,15882.6,15923.4,0
19-Jul-21,15754.5,15836.9,15707.5,15752.4,0
20-Jul-21,15703.95,15728.45,15578.55,15632.1,0
22-Jul-21,15736.6,15834.8,15726.4,15824.05,0
23-Jul-21,15856.8,15899.8,15768.4,15856.05,0
26-Jul-21,15849.3,15893.35,15797,15824.45,0
27-Jul-21,15860.5,15881.55,15701,15746.45,0
28-Jul-21,15761.55,15767.5,15513.45,15709.4,0
29-Jul-21,15762.7,15817.35,15737.8,15778.45,0
30-Jul-21,15800.6,15862.8,15744.85,15763.05,0
02-Aug-21,15874.9,15892.9,15834.65,15885.15,0
03-Aug-21,15951.55,16146.9,15914.35,16130.75,0
04-Aug-21,16195.25,16290.2,16176.15,16258.8,0
05-Aug-21,16288.95,16349.45,16210.3,16283.8,0
06-Aug-21,16304.4,16336.75,16223.3,16238.2,0
09-Aug-21,16281.35,16320.75,16179.05,16258.25,0
10-Aug-21,16274.8,16359.25,16202.25,16280.1,0
11-Aug-21,16327.3,16338.75,16162.55,16282.25,0
12-Aug-21,16303.65,16375.5,16286.9,16364.4,0
13-Aug-21,16385.7,16543.6,16376.3,16529.1,0
16-Aug-21,16518.4,16589.4,16480.75,16563.05,0
17-Aug-21,16545.25,16628.55,16495.4,16614.6,0
18-Aug-21,16691.95,16701.85,16535.85,16568.85,0
20-Aug-21,16382.5,16509.55,16376.05,16450.5,0
23-Aug-21,16592.25,16592.5,16395.7,16496.45,0
24-Aug-21,16561.4,16647.1,16495.3,16624.6,0
25-Aug-21,16654,16712.45,16617.5,16634.65,0
26-Aug-21,16627.95,16683.7,16603.4,16636.9,0
27-Aug-21,16642.55,16722.05,16565.6,16705.2,0
30-Aug-21,16775.85,16951.5,16764.85,16931.05,0
31-Aug-21,16947.5,17153.5,16915.85,17132.2,0
01-Sep-21,17185.6,17225.75,17055.05,17076.25,0
02-Sep-21,17095.4,17245.5,17059.7,17234.15,0
03-Sep-21,17262.45,17340.1,17212.2,17323.6,0
06-Sep-21,17399.35,17429.55,17345.55,17377.8,0
07-Sep-21,17401.55,17436.5,17287,17362.1,0
08-Sep-21,17375.75,17383.4,17254.2,17353.5,0
09-Sep-21,17312.85,17379.65,17302.7,17369.25,0
13-Sep-21,17363.55,17378.35,17269.15,17355.3,0
14-Sep-21,17420.35,17438.55,17367.05,17380,0
15-Sep-21,17387.65,17532.7,17386.9,17519.45,0
16-Sep-21,17539.2,17644.6,17510.45,17629.5,0
17-Sep-21,17709.65,17792.95,17537.65,17585.15,0
20-Sep-21,17443.85,17622.75,17361.8,17396.9,0
21-Sep-21,17450.5,17578.35,17326.1,17562,0
22-Sep-21,17580.9,17610.45,17524,17546.65,0
23-Sep-21,17670.85,17843.9,17646.55,17822.95,0
24-Sep-21,17897.45,17947.65,17819.4,17853.2,0
27-Sep-21,17932.2,17943.5,17802.9,17855.1,0
28-Sep-21,17906.45,17912.85,17576.1,17748.6,0
29-Sep-21,17657.95,17781.75,17608.15,17711.3,0
30-Sep-21,17718.9,17742.15,17585.35,17618.15,0
01-Oct-21,17531.9,17557.15,17452.9,17532.05,0
04-Oct-21,17615.55,17750.9,17581.35,17691.25,0
05-Oct-21,17661.35,17833.45,17640.9,17822.3,0
06-Oct-21,17861.5,17884.6,17613.15,17646,0
07-Oct-21,17810.55,17857.55,17763.8,17790.35,0
08-Oct-21,17886.85,17941.85,17840.35,17895.2,0
11-Oct-21,17867.55,18041.95,17839.1,17945.95,0
12-Oct-21,17915.8,18008.65,17864.95,17991.95,0
13-Oct-21,18097.85,18197.8,18050.75,18161.75,0
14-Oct-21,18272.85,18350.75,18248.7,18338.55,0
18-Oct-21,18500.1,18543.15,18445.3,18476.25,0
19-Oct-21,18602.35,18604.45,18377.7,18418.75,0
20-Oct-21,18439.9,18458.3,18209.35,18266.6,0
21-Oct-21,18382.7,18384.2,18048,18178.1,0
22-Oct-21,18230.7,18314.25,18034.35,18114.9,0
25-Oct-21,18229.5,18241.4,17968.5,18125.4,0
26-Oct-21,18154.5,18310.45,18099.3,18268.4,0
27-Oct-21,18295.85,18342.05,18167.9,18210.95,0
28-Oct-21,18187.65,18190.7,17799.45,17857.25,0
29-Oct-21,17833.05,17915.85,17613.1,17671.65,0
01-Nov-21,17783.15,17954.1,17697.1,17929.65,0
02-Nov-21,17970.9,18012.25,17847.6,17888.95,0
03-Nov-21,17947.95,17988.75,17757.95,17829.2,0
04-Nov-21,17935.05,17947.55,17900.6,17916.8,0
08-Nov-21,18040.2,18087.8,17836.1,18068.55,0
09-Nov-21,18084.35,18112.6,17983.05,18044.25,0
10-Nov-21,17973.45,18061.25,17915,18017.2,0
11-Nov-21,17967.45,17971.35,17798.2,17873.6,0
12-Nov-21,17977.6,18123,17905.9,18102.75,0
15-Nov-21,18140.95,18210.15,18071.3,18109.45,0
16-Nov-21,18127.05,18132.65,17958.8,17999.2,0
17-Nov-21,17939.35,18022.65,17879.25,17898.65,0
18-Nov-21,17890.55,17945.6,17688.5,17764.8,0
22-Nov-21,17796.25,17805.25,17280.45,17416.55,0
23-Nov-21,17281.75,17553.7,17216.1,17507.65,0
24-Nov-21,17550.05,17600.6,17354,17415.05,0
25-Nov-21,17417.3,17564.35,17351.7,17536.25,0
26-Nov-21,17338.75,17355.4,16985.7,17026.45,0
29-Nov-21,17055.8,17160.7,16782.4,17053.95,0
30-Nov-21,17051.15,17324.65,16931.4,16983.2,0
01-Dec-21,17104.4,17213.05,17064.25,17166.9,0
02-Dec-21,17183.2,17420.35,17149.3,17401.65,0
03-Dec-21,17424.9,17489.8,17180.8,17196.7,0
06-Dec-21,17209.05,17216.75,16891.7,16912.25,0
07-Dec-21,17044.1,17251.65,16987.75,17176.7,0
08-Dec-21,17315.25,17484.6,17308.95,17469.75,0
09-Dec-21,17524.4,17543.25,17379.6,17516.85,0
10-Dec-21,17476.05,17534.35,17405.25,17511.3,0
13-Dec-21,17619.1,17639.5,17355.95,17368.25,0
14-Dec-21,17283.2,17376.2,17225.8,17324.9,0
15-Dec-21,17323.65,17351.2,17192.2,17221.4,0
16-Dec-21,17373,17379.35,17184.95,17248.4,0
17-Dec-21,17276,17298.15,16966.45,16985.2,0
20-Dec-21,16824.25,16840.1,16410.2,16614.2,0
21-Dec-21,16773.15,16936.4,16688.25,16770.85,0
22-Dec-21,16865.55,16971,16819.5,16955.45,0
23-Dec-21,17066.8,17118.65,17015.55,17072.6,0
24-Dec-21,17149.5,17155.6,16909.6,17003.75,0
27-Dec-21,16937.75,17112.05,16833.2,17086.25,0
