price,volume,symbol
2783.8,1800,11536_NSE
2787.6499,13816,11536_NSE
2786.45,1647,11536_NSE
2784.8501,1472,11536_NSE
2785.1001,1504,11536_NSE
2786.95,962,11536_NSE
2784.25,858,11536_NSE
2785.7,1541,11536_NSE
2785.05,1018,11536_NSE
2786.3501,1932,11536_NSE
2785.95,708,11536_NSE
2787.8999,3633,11536_NSE
2786.05,836,11536_NSE
2785.3999,1236,11536_NSE
2785.05,932,11536_NSE
2785.55,1032,11536_NSE
2785.8999,845,11536_NSE
2786,542,11536_NSE
2785.6499,917,11536_NSE
2785.7,938,11536_NSE
2785.1001,2141,11536_NSE
2785.1499,1632,11536_NSE
2786.05,6108,11536_NSE
2789.55,4828,11536_NSE
2789.5,3545,11536_NSE
2787.1499,1405,11536_NSE
2786.25,888,11536_NSE
2785.75,1660,11536_NSE
2786.05,500,11536_NSE
2787.25,2531,11536_NSE
2787.8999,848,11536_NSE
2786.75,1294,11536_NSE
2786.2,653,11536_NSE
2786.7,1988,11536_NSE
2786.75,2585,11536_NSE
2786.05,1270,11536_NSE
2786,1332,11536_NSE
2786,1602,11536_NSE
2786,831,11536_NSE
2786,774,11536_NSE
2786.6001,3340,11536_NSE
2786,298,11536_NSE
2786.25,3717,11536_NSE
2786,1155,11536_NSE
2786.1001,2144,11536_NSE
2787.2,10819,11536_NSE
2787.1001,589,11536_NSE
2787.55,1357,11536_NSE
2786.6499,464,11536_NSE
2787.05,1795,11536_NSE
2786.3501,1856,11536_NSE
2786.05,1211,11536_NSE
2786.55,3008,11536_NSE
2787.45,3586,11536_NSE
2786.5,1283,11536_NSE
2786,636,11536_NSE
2786,1065,11536_NSE
2786.1001,2015,11536_NSE
2786,1589,11536_NSE
2786,2028,11536_NSE
2786,5476,11536_NSE
2786.75,2694,11536_NSE
2786.8501,895,11536_NSE
2786.25,929,11536_NSE
2786,1459,11536_NSE
2786.3,603,11536_NSE
2786.6499,2019,11536_NSE
2786.25,6363,11536_NSE
2786.45,1340,11536_NSE
2786.05,864,11536_NSE
2786,495,11536_NSE
2786,2456,11536_NSE
2786,1809,11536_NSE
2786,4111,11536_NSE
2786.05,3438,11536_NSE
2786.3999,2462,11536_NSE
2786.05,669,11536_NSE
2786.3999,1843,11536_NSE
2786.3,2521,11536_NSE
2787.3999,1448,11536_NSE
2786.95,1612,11536_NSE
2786.3999,2696,11536_NSE
2788,2416,11536_NSE
2787.05,1707,11536_NSE
2789.6001,3424,11536_NSE
2788,617,11536_NSE
2788.05,1632,11536_NSE
2788,2295,11536_NSE
2788.1499,2243,11536_NSE
2788.45,1088,11536_NSE
2788.1001,1405,11536_NSE
2789.75,3163,11536_NSE
2789.45,2749,11536_NSE
2790.8999,2814,11536_NSE
2790.8999,1032,11536_NSE
2793.6001,4040,11536_NSE
2795,3692,11536_NSE
2798.1001,12168,11536_NSE
2798.3501,1826,11536_NSE
2806.7,18795,11536_NSE
2801.45,6824,11536_NSE
2802.45,5083,11536_NSE
2800.25,2135,11536_NSE
2800,2952,11536_NSE
2800.5,2836,11536_NSE
2801.6001,8153,11536_NSE
2801.25,2499,11536_NSE
2804.5,3563,11536_NSE
2803.1001,2056,11536_NSE
2800.7,1222,11536_NSE
2800.05,11336,11536_NSE
2801,2578,11536_NSE
2801.1499,2195,11536_NSE
2800.5,3481,11536_NSE
2800.45,2165,11536_NSE
2801,5248,11536_NSE
2800,3011,11536_NSE
2800.95,8550,11536_NSE
2802.3999,2762,11536_NSE
2800.3,2251,11536_NSE
2801.25,2253,11536_NSE
2800.7,3152,11536_NSE
2801.45,7618,11536_NSE
2803.95,2707,11536_NSE
2805.3999,4585,11536_NSE
2805.6499,1751,11536_NSE
