Date,Type,open,close,low,High,Candle Mean,Moving Average Short,Moving Average Medium,Moving Average Long,EXPONENTIAL AVERAGE,RSI,Pattern
21-Jul-20,Bear,320.9,314.7,313.6,325.35,317.79999999999995,336.23249999999996,332.67699999999996,99.80349999999999,330.094742954147,36.10225014768272,['ENGULFING']
22-Jul-20,Bear,316.2,312.0,309.1,318.65,314.1,334.2399999999999,333.087,101.36349999999999,328.3714341013711,28.868400264043544,[]
23-Jul-20,Bull,313.4,313.9,311.6,315.95,313.65,332.7349999999999,333.17800000000005,102.93299999999999,326.9932022821929,28.14525738147553,"['Doji', 'HARAMI']"
24-Jul-20,Bear,313.9,309.4,305.35,313.95,311.65,331.0449999999999,333.19800000000004,104.48,325.3176592076983,28.456641393487914,['ENGULFING']
27-Jul-20,Bull,309.0,309.05,298.0,310.7,309.025,329.36499999999995,333.194,106.02525,323.7683583307746,28.690661912190762,['Doji']
28-Jul-20,Bull,309.9,318.6,308.05,320.0,314.25,328.09999999999997,333.7,107.61824999999999,323.2761337278437,35.96752519596865,[]
29-Jul-20,Bear,317.05,315.15,312.05,323.0,316.1,326.66749999999996,333.619,109.194,322.5022162299539,28.460671624971823,['Doji']
30-Jul-20,Bear,317.85,312.5,310.1,321.75,315.175,324.9525,333.39399999999995,110.7565,321.5496242080535,28.60540711963847,[]
31-Jul-20,Bull,315.0,315.2,312.75,318.15,315.1,322.6925,333.355,112.3325,320.9448980930008,35.883617014019165,"['Doji', 'HARAMI']"
03-Aug-20,Bull,311.0,311.35,308.65,319.55,311.175,320.2875,333.37,113.88924999999999,320.03109827461975,35.95761649766436,['Doji']
04-Aug-20,Bull,313.0,314.95,311.35,317.75,313.975,318.7375,333.357,115.464,319.5471841532274,43.13629423694825,[]
05-Aug-20,Bull,316.4,327.1,313.4,328.8,321.75,318.06250000000006,333.36600000000004,117.09949999999999,320.2664999481581,50.40756550565369,[]
06-Aug-20,Bear,330.1,323.8,321.4,330.9,326.95000000000005,317.095,333.2060000000001,118.71849999999999,320.6030237626193,43.19479048697622,[]
07-Aug-20,Bull,323.9,326.65,321.55,328.35,325.275,316.68,333.26300000000003,120.35175,321.1789262614174,43.31483720772543,[]
10-Aug-20,Bull,329.0,331.3,325.7,333.95,330.15,316.63500000000005,333.302,122.00824999999999,322.1428380460443,50.613044506243035,[]
11-Aug-20,Bull,333.5,335.0,330.7,336.75,334.25,317.365,333.20300000000003,123.68324999999999,323.3673296607068,57.8568308336787,['Doji']
12-Aug-20,Bull,336.0,341.2,331.75,347.75,338.6,318.6675,333.236,125.38924999999999,325.06567921682995,58.11299749512942,[]
