Date,Type,open,close,low,High,Candle Mean,Moving Average Short,Moving Average Medium,Moving Average Long,EXPONENTIAL AVERAGE,RSI,VWAP,Pattern
02-Dec-21,Bull,17183.2,17401.65,17149.3,17420.35,17284.824999999997,17656.605000000003,17821.445,10389.888499999995,17541.975158046058,44.66906070282969,0,[]
03-Dec-21,Bear,17424.9,17196.7,17180.8,17489.8,17335.3,17624.980000000003,17814.139000000003,10475.871999999996,17509.09180966072,40.33260375746577,0,['DARK CLOUD']
06-Dec-21,Bear,17209.05,16912.25,16891.7,17216.75,17054.225,17574.752500000002,17801.451000000005,10560.433249999995,17452.249732550175,35.2218692791287,0,[]
07-Dec-21,Bull,17044.1,17176.7,16987.75,17251.65,17119.7,17530.16,17788.526,10646.316749999996,17426.006900878732,42.51484968203558,0,[]
08-Dec-21,Bull,17315.25,17469.75,17308.95,17484.6,17396.775,17501.435000000005,17780.857,10733.665499999996,17430.17291031885,49.32356986557531,0,[]
09-Dec-21,Bear,17524.4,17516.85,17379.6,17543.25,17461.425,17476.417500000003,17774.092,10821.249749999995,17438.427871240863,50.34161325082414,0,['Doji']
10-Dec-21,Bull,17476.05,17511.3,17405.25,17534.35,17469.8,17458.302499999998,17769.346,10908.806249999996,17445.36807397983,50.21360486158044,0,[]
13-Dec-21,Bear,17619.1,17368.25,17355.95,17639.5,17497.725,17421.577500000003,17762.485,10995.647499999995,17438.02349550556,46.9031129293121,0,['ENGULFING']
14-Dec-21,Bull,17283.2,17324.9,17225.8,17376.2,17301.0,17382.350000000002,17756.620000000003,11082.271999999995,17427.249829266933,45.91521142979038,0,[]
15-Dec-21,Bear,17323.65,17221.4,17192.2,17351.2,17271.7,17343.460000000003,17750.407000000003,11168.378999999994,17407.645083622465,43.55636567254046,0,[]
16-Dec-21,Bear,17373.0,17248.4,17184.95,17379.35,17282.15,17310.947500000002,17741.550000000003,11254.620999999994,17392.47888518223,44.35941594365505,0,[]
17-Dec-21,Bear,17276.0,16985.2,16966.45,17298.15,17132.300000000003,17271.967500000006,17724.808,11339.546999999995,17353.69041992678,38.59488102701773,0,[]
20-Dec-21,Bear,16824.25,16614.2,16410.2,16840.1,16625.15,17231.850000000002,17704.172,11422.617999999995,17283.262760886137,32.23585801037859,0,[]
21-Dec-21,Bear,16773.15,16770.85,16688.25,16936.4,16812.325,17195.010000000002,17683.781999999996,11506.472249999997,17234.46154556365,36.958938843008,0,['Doji']
22-Dec-21,Bull,16865.55,16955.45,16819.5,16971.0,16895.25,17172.03,17664.986999999994,11591.249499999998,17207.88901741473,42.0819504897061,0,[]
23-Dec-21,Bull,17066.8,17072.6,17015.55,17118.65,17067.1,17148.847499999996,17647.519999999997,11676.612499999997,17195.00434908952,45.129401981185566,0,['Doji']
24-Dec-21,Bear,17149.5,17003.75,16909.6,17155.6,17032.6,17147.712499999998,17627.755999999994,11761.631249999999,17176.789649176233,43.67494274818577,0,['ENGULFING']
27-Dec-21,Bull,16937.75,17086.25,16833.2,17112.05,16972.625,17149.3275,17606.245999999996,11847.062499999998,17168.166825445165,45.92390409498373,0,[]
28-Dec-21,Bull,17177.6,17233.25,17161.15,17250.25,17205.7,17161.829999999998,17584.14,11933.228749999998,17174.365223021814,49.77223388164492,0,[]
29-Dec-21,Bear,17220.1,17213.6,17176.65,17285.95,17231.300000000003,17164.165,17558.887,12019.296749999998,17178.101868448306,49.26750584132664,0,['Doji']
30-Dec-21,Bull,17201.45,17203.95,17146.35,17264.05,17205.199999999997,17154.280000000002,17534.590999999997,12105.316499999999,17180.563595262753,49.00468647940676,0,['Doji']
31-Dec-21,Bull,17244.5,17354.05,17238.5,17400.8,17319.65,17162.1475,17516.339999999997,12192.086749999999,17197.086109999633,53.187749101009956,0,[]
03-Jan-22,Bull,17387.15,17625.7,17383.3,17646.65,17514.975,17197.82,17505.292,12280.21525,17237.90648047586,59.640226868049986,0,[]
04-Jan-22,Bull,17681.4,17805.25,17593.55,17827.6,17710.574999999997,17229.2475,17499.099,12369.241499999998,17291.939196621017,63.24625396833084,0,[]
05-Jan-22,Bull,17820.1,17925.25,17748.85,17944.7,17846.775,17252.0225,17495.095999999998,12458.86775,17352.25451122854,65.46698176111886,0,[]
06-Jan-22,Bear,17768.5,17745.9,17655.55,17797.95,17726.75,17263.475000000002,17484.646,12547.597249999999,17389.744557778202,59.66449077430758,0,['Doji']
07-Jan-22,Bull,17797.6,17812.7,17704.55,17905.0,17804.775,17278.545000000006,17476.680999999997,12636.66075,17430.026028465993,61.04922991723446,0,['Doji']
10-Jan-22,Bull,17913.3,18003.3,17879.15,18017.45,17948.300000000003,17310.297500000004,17479.602,12726.677249999999,17484.62354956447,64.76606034606937,0,[]
11-Jan-22,Bull,17997.75,18055.75,17964.4,18081.25,18022.825,17346.840000000004,17487.283999999996,12816.955999999998,17539.016544844042,65.73503902410792,0,[]
12-Jan-22,Bull,18170.4,18212.35,18128.8,18227.95,18178.375,17396.3875,17492.937999999995,12908.017749999999,17603.143540573183,68.51881942889507,0,[]
13-Jan-22,Bull,18257.0,18257.8,18163.8,18272.25,18218.025,17446.8575,17500.315,12999.306749999998,17665.491774804308,69.29842021493482,0,['Doji']
14-Jan-22,Bull,18185.0,18255.75,18119.65,18286.95,18203.300000000003,17510.385000000002,17508.845999999998,13090.585499999997,17721.706843870565,69.21516198866964,0,[]
17-Jan-22,Bull,18235.65,18308.1,18228.75,18321.55,18275.15,17595.079999999994,17516.672,13182.125999999998,17777.553811120986,70.19978663427031,0,[]
18-Jan-22,Bear,18337.2,18113.05,18085.9,18350.95,18218.425000000003,17662.189999999995,17517.561999999998,13272.691249999998,17809.505829109465,62.21533286704267,0,['ENGULFING']
19-Jan-22,Bear,18129.2,17938.4,17884.9,18129.2,18007.050000000003,17711.3375,17515.445000000003,13362.383249999997,17821.781464432373,56.06614919341162,0,[]
20-Jan-22,Bear,17921.0,17757.0,17648.45,17943.7,17796.075,17745.5575,17510.241,13451.168249999997,17815.6118011531,50.48485950492147,0,[]
21-Jan-22,Bull,17613.7,17617.15,17485.85,17707.6,17596.725,17776.2275,17505.112,13539.253999999997,17796.710677233757,46.630815097560664,0,['Doji']
24-Jan-22,Bear,17575.15,17149.1,16997.85,17599.4,17298.625,17779.370000000003,17486.039,13624.999499999998,17735.03346987816,36.56887686883882,0,[]
25-Jan-22,Bull,17001.55,17277.95,16836.8,17309.15,17072.975,17781.605000000003,17469.409,13711.389249999998,17691.501710842145,40.3826773155547,0,[]
27-Jan-22,Bull,17062.0,17110.15,16866.75,17182.5,17024.625,17776.432500000003,17451.628000000004,13796.939999999997,17636.134881238133,37.24228370416148,0,['Doji']
28-Jan-22,Bear,17208.3,17101.95,17077.1,17373.5,17225.3,17771.3325,17435.694000000003,13882.449749999998,17585.260130644027,37.090488479675166,0,[]
31-Jan-22,Bull,17301.05,17339.85,17264.15,17410.0,17337.075,17770.6225,17427.195,13969.149,17561.88773724936,44.196828156009936,0,[]
01-Feb-22,Bull,17529.45,17576.85,17244.55,17622.4,17433.475,17768.18,17430.400999999998,14057.03325,17563.31271465418,50.22863949382874,0,['Doji']
02-Feb-22,Bull,17706.2,17780.0,17674.8,17794.6,17734.699999999997,17766.9175,17435.848,14145.93325,17583.94959897283,54.74424357334325,0,[]
03-Feb-22,Bear,17767.75,17560.2,17511.15,17781.15,17646.15,17748.665,17438.750999999997,14233.734250000001,17581.687732403992,49.5103173217358,0,[]
04-Feb-22,Bear,17590.2,17516.3,17462.55,17617.8,17540.175,17737.184999999998,17438.352,14321.31575,17575.4603293179,48.51269522799421,0,[]
