Date,close,Gain,GainAverage,loseAverage,Strngth Index,RSI
07-Jun-21,15751.65,0,0,0,0,0
08-Jun-21,15740.1,0,0,0,0,0
09-Jun-21,15635.35,0,0,0,0,0
10-Jun-21,15737.75,102.39999999999964,0,0,0,0
11-Jun-21,15805.0,67.25,0,0,0,0
14-Jun-21,15811.85,6.850000000000364,0,0,0,0
15-Jun-21,15869.25,57.399999999999636,0,0,0,0
16-Jun-21,15767.55,0,0,0,0,0
17-Jun-21,15680.3,0,0,0,0,0
18-Jun-21,15683.35,3.0500000000010914,0,0,0,0
21-Jun-21,15746.5,63.149999999999636,0,0,0,0
22-Jun-21,15772.75,26.25,0,0,0,0
23-Jun-21,15686.95,0,0,0,0,0
24-Jun-21,15794.15,107.19999999999891,0,0,0,0
25-Jun-21,15860.35,66.20000000000073,35.69642857142857,0.0,0,100
28-Jun-21,15814.7,0,33.14668367346938,3.26071428571426,10.165467063057504,91.04381398151592
29-Jun-21,15749.55,0,30.779063411078713,7.681377551020488,4.006971823301361,80.02784846229378
30-Jun-21,15721.5,0,28.580558881715948,9.136279154518972,3.128249301312064,75.77665671300001
01-Jul-21,15680.0,0,26.53909039016481,11.447973500624759,2.318234785284616,69.86349475827622
02-Jul-21,15722.2,42.20000000000073,27.657726790867375,10.63026110772299,2.6017918572831444,72.23604140317241
05-Jul-21,15834.35,112.14999999999964,33.69288916294825,9.870956742885635,3.4133357120860612,77.34140194090679
06-Jul-21,15818.25,0,31.286254222737657,10.315888404108117,3.0328220893004687,75.20346849286724
07-Jul-21,15879.65,61.399999999999636,33.43723606397065,9.579039232386108,3.4906669920425353,77.73159306241143
08-Jul-21,15727.9,0,31.04886205940132,19.734107858644244,1.5733603100684792,61.14030374652864
09-Jul-21,15689.8,0,28.83108619801551,21.045957297312537,1.3699108950343206,57.80432074069526
12-Jul-21,15692.6,2.8000000000010914,26.971722898157335,19.542674633218784,1.3801449087378552,57.98575135787507
13-Jul-21,15812.35,119.75,33.59874269114609,18.146769302274585,1.8514999629677718,64.9307377525187
14-Jul-21,15853.95,41.600000000000364,34.17026107034997,16.850571494969255,2.027839891397839,66.97315459641632
15-Jul-21,15924.2,70.25,36.74738527961069,15.646959245328594,2.3485320504417904,70.13616758220772
16-Jul-21,15923.4,0,34.12257204535278,14.586462156376628,2.339331613076289,70.05388754791049
19-Jul-21,15752.4,0,31.685245470684727,25.758857716635443,1.2300718385591274,55.15839522702954
20-Jul-21,15632.1,0,29.422013651350106,32.51179645116143,0.9049642549142821,47.505576683642445
22-Jul-21,15824.05,191.9499999999989,41.03115553339645,30.189525276078474,1.359118938047981,57.61129361169744
23-Jul-21,15856.05,32.0,40.38607299529671,28.03313061350144,1.440655114553841,59.027394159997776
26-Jul-21,15824.45,0,37.50135349563266,28.287906998251234,1.3257026579573739,57.00224202872591
27-Jul-21,15746.45,0,34.82268538880175,31.838770784090432,1.0937195290906883,52.238110878475474
28-Jul-21,15709.4,0,32.33535071817305,32.21100144236976,1.0038604597881182,50.096325564219335
29-Jul-21,15778.45,69.05000000000109,34.95782566687505,29.91021562505764,1.1687587313007775,53.89067554784113
30-Jul-21,15763.05,0,32.460838119241124,28.87377165183934,1.124232695009669,52.92417811150166
02-Aug-21,15885.15,122.10000000000036,38.86363539643821,26.811359390993676,1.4495212581236396,59.17569620253016
03-Aug-21,16130.75,245.60000000000036,53.630518582406935,24.896262291636987,2.1541594458708047,68.2958323077444
04-Aug-21,16258.8,128.04999999999927,58.94619582652068,23.117957842234343,2.549801164479654,71.82940808047809
05-Aug-21,16283.8,25.0,56.52146755319777,21.466675139217607,2.6329865797399776,72.47443726941671
06-Aug-21,16238.2,0,52.48421987082651,23.190484057844817,2.2631791445108833,69.35503827051181
09-Aug-21,16258.25,20.049999999999272,50.16748988005314,21.5340209108559,2.329685203136508,69.96713085495239
10-Aug-21,16280.1,21.850000000000364,48.14481203147794,19.995876560080482,2.4077370095189345,70.65501248462925
11-Aug-21,16282.25,2.149999999999636,44.859468314943776,18.567599662931876,2.416007945523549,70.72606340654349
12-Aug-21,16364.4,82.14999999999964,47.5230777210192,17.241342544151028,2.756344385556041,73.37837276461613
13-Aug-21,16529.1,164.6999999999989,55.892857883803465,16.00981807671167,3.4911613371239225,77.73404416060488
16-Aug-21,16563.05,33.95000000000073,54.325510892103274,14.866259642660838,3.654282395028843,78.51441070554544
17-Aug-21,16614.6,51.54999999999927,54.12726011409585,13.804383953899348,3.921019604703651,79.67900800386629
18-Aug-21,16568.85,0,50.26102724880328,16.086213671477967,3.124478405873705,75.754509986623
20-Aug-21,16450.5,0,46.67095387388876,23.390769837800867,1.995272246168903,66.61405315396462
23-Aug-21,16496.45,45.95000000000073,46.61945716861105,21.720000563672237,2.146383791839507,68.21748184078464
24-Aug-21,16624.6,128.14999999999782,52.443067370852965,20.168571951981363,2.6002370170636175,72.22405093719057
25-Aug-21,16634.65,10.05000000000291,49.414991130077965,18.72795966969698,2.6385677885687966,72.51665880345348
26-Aug-21,16636.9,2.25,46.04606319221525,17.390248264718625,2.6478094211934633,72.58628715113008
27-Aug-21,16705.2,68.29999999999927,47.63563010705696,16.148087674381582,2.9499239208757424,74.68305668585413
30-Aug-21,16931.05,225.84999999999854,60.36522795655279,14.994652840497183,4.0257836309167425,80.10260541563362
31-Aug-21,17132.2,201.15000000000146,70.42128310251341,13.923606209033098,5.057689943631615,83.49205704971267
01-Sep-21,17076.25,0,65.39119145233389,16.9254914798165,3.8634737153903216,79.43856472719224
02-Sep-21,17234.15,157.90000000000146,71.998963491453,15.716527802686752,4.5810985985813435,82.08238069375464
03-Sep-21,17323.6,89.44999999999709,73.24546609920614,14.593918673923412,5.018903266199641,83.38567749351114
06-Sep-21,17377.8,54.20000000000073,71.88507566354862,13.55149591150031,5.30458601271792,84.13853030186675
07-Sep-21,17362.1,0,66.75042740186657,13.70496048925034,4.870530451672818,82.96576419742362
08-Sep-21,17353.5,0,61.98253973030467,13.340320454303782,4.64625568348384,82.28914778115428
09-Sep-21,17369.25,15.75,58.68021546385434,12.387440421853512,4.737073476481279,82.56951032439399
13-Sep-21,17355.3,0,54.48877150215046,12.499051820292598,4.359432402199202,81.34130771777889
14-Sep-21,17380.0,24.700000000000728,52.36100210913977,11.606262404557413,4.511443932939105,81.85593444898338
15-Sep-21,17519.45,139.45000000000073,58.581644815629836,10.77724366137474,5.435679720741991,84.46162575839453
16-Sep-21,17629.5,110.04999999999927,62.25795590022766,10.007440542705115,6.221166704368816,86.1518222616991
17-Sep-21,17585.15,0,57.810959050211395,12.46048050394036,4.63954492219862,82.26807280027583
20-Sep-21,17396.9,0,53.68160483233915,25.016874753658904,2.1458157887802436,68.21174324426227
21-Sep-21,17562.0,165.09999999999854,61.6400616300291,23.229955128397556,2.653473125080511,72.62878456296396
22-Sep-21,17546.65,0,57.23720008502703,22.66710119065477,2.525122184949917,71.63218897009077
23-Sep-21,17822.95,276.2999999999993,72.88454293609648,21.04802253417943,3.4627738932596084,77.59241171706326
24-Sep-21,17853.2,30.25,69.83921844066101,19.544592353166614,3.5733269427512857,78.13408023266305
27-Sep-21,17855.1,1.8999999999978172,64.98641712347079,18.14855004222614,3.580804911261077,78.16977541345013
28-Sep-21,17748.6,0,60.344530186080014,24.45936789635285,2.4671336741730774,71.15773160264716
29-Sep-21,17711.3,0,56.03420660136002,25.376555903756163,2.208109201811188,68.82899125019078
30-Sep-21,17618.15,0,52.03176327269144,30.217516196344853,1.7219073511735312,63.26105664217935
01-Oct-21,17532.05,0,48.31520875321348,34.20912218232038,1.4123486857018295,58.54662280262075
04-Oct-21,17691.25,159.20000000000073,56.23555098512686,31.76561345501178,1.7703278756058263,63.90318962583748
05-Oct-21,17822.3,131.04999999999927,61.579440200474885,29.496641065368085,2.0876763582676237,67.61318597001335
06-Oct-21,17646.0,0,57.18090875758382,39.9825952749846,1.4301450009514385,58.8501920828393
07-Oct-21,17790.35,144.34999999999854,63.4072724177563,37.1266956124857,1.7078619944952078,63.07049613189696
08-Oct-21,17895.2,104.85000000000218,66.36746724505959,34.47478878302243,1.9251014897513492,65.81315200502647
11-Oct-21,17945.95,50.75,65.25193387041247,32.0123038699494,2.038339200311846,67.08728242398469
12-Oct-21,17991.95,46.0,63.87679573681158,29.725710736381586,2.1488736233523307,68.24261245088053
13-Oct-21,18161.75,169.79999999999927,71.44273889846785,27.6024456837829,2.588275680964103,72.13146121115983
14-Oct-21,18338.55,176.79999999999927,78.96825754857726,25.630842420655547,3.080985644269648,75.4961157140026
18-Oct-21,18476.25,137.70000000000073,83.16338200939322,23.800067962037296,3.494249770296639,77.74934524980804
19-Oct-21,18418.75,0,77.22314043729371,26.207205964748916,2.9466376744306846,74.66197602889267
20-Oct-21,18266.6,0,71.70720183462987,35.20311982440981,2.0369558775557204,67.07229079650492
21-Oct-21,18178.1,0,66.58525884644202,39.01003983695197,1.7068749256536166,63.057029694176414
22-Oct-21,18114.9,0,61.82916892883902,40.737894134312334,1.5177311012932826,60.28169968245099
25-Oct-21,18125.4,10.5,58.162799719636226,37.82804455329002,1.5375576614249713,60.5920285004106
26-Oct-21,18268.4,143.0,64.22259973966221,35.12604137091216,1.8283472100230709,64.64366197840883
27-Oct-21,18210.95,0,59.6352711868292,36.72060984441849,1.6240272544355285,61.890639729078714
28-Oct-21,17857.25,0,55.375608959198544,59.361994855531506,0.9328461601394196,48.262825018217264
29-Oct-21,17671.65,0,51.42020831925579,68.37899522299344,0.7519883577049842,42.92199513757333
01-Nov-21,17929.65,258.0,66.17590772502324,63.49478127849391,1.0422259340459756,51.03382131580123
