date,series ,open,high,low,PREV. CLOSE ,ltp ,close,vwap ,52W H ,52W L ,VOLUME,VALUE ,No of trades 
23-Apr-20,EQ,273.5,279.7,268.5,271.9,278,277.6,275.11,430.6,203,3594118,"98,87,91,951.65",41781
24-Apr-20,EQ,273.95,276.95,269.55,277.6,270.55,270.65,272.1,430.6,203,2515755,"68,45,49,391.75",18327
27-Apr-20,EQ,273.3,277.1,269.5,270.65,271,271.15,272.69,430.6,203,1845577,"50,32,71,228.70",27930
28-Apr-20,EQ,271.15,274.7,270,271.15,273.95,272.95,272.55,430.6,203,1808291,"49,28,44,369.15",23592
29-Apr-20,EQ,274,293.2,272.7,272.95,290.9,287.65,283.1,430.6,203,4058322,"1,14,89,16,899.25",52514
30-Apr-20,EQ,295.05,296,285.1,287.65,290.65,290.1,290.1,430.6,203,4675412,"1,35,63,23,333.10",65200
04-May-20,EQ,275,280,262,290.1,266.9,266.35,265.94,430.6,203,6359013,"1,69,10,95,553.65",58530
05-May-20,EQ,271.7,271.7,261.1,266.35,262.55,263.1,265.42,430.6,203,4866839,"1,29,17,48,340.45",51052
06-May-20,EQ,261.1,273.5,261.1,263.1,271.5,270.15,268.77,430.6,203,10547916,"2,83,49,33,877.60",101064
07-May-20,EQ,271.2,284.5,268.45,270.15,282,282.4,281.09,430.6,203,6505707,"1,82,87,01,526.10",85225
08-May-20,EQ,285.1,286.85,280.55,282.4,284.05,285.05,284.12,430.6,203,2594067,"73,70,23,673.10",45866
11-May-20,EQ,285.2,293.25,285.2,285.05,290.95,289.7,289.6,430.6,203,3204070,"92,78,90,029.80",35653
12-May-20,EQ,289,292.8,285.25,289.7,292,291.5,289.56,430.6,203,4602741,"1,33,27,57,574.75",40291
13-May-20,EQ,297,311.9,262.35,291.5,308.95,309.35,299.91,430.6,203,9560014,"2,86,71,34,468.60",85431
14-May-20,EQ,301.1,311.45,301.1,309.35,306.7,308.4,307.6,430.6,203,5684067,"1,74,83,94,007.40",52222
15-May-20,EQ,309,312,305.35,308.4,309,309.25,308.63,430.6,203,3712050,"1,14,56,39,790.70",39563
18-May-20,EQ,306,307.35,291.35,309.25,294.05,293.3,296.39,430.6,203,3625909,"1,07,46,93,354.25",60376
19-May-20,EQ,299.8,320.9,297.35,293.3,319.7,319.2,311.11,430.6,203,10540356,"3,27,91,58,785.45",123877
20-May-20,EQ,318,324.8,311.55,319.2,323.1,323.75,319.24,430.6,203,6985480,"2,23,00,56,743.40",73140
21-May-20,EQ,319.4,322.15,315.4,323.75,317.15,317.15,318.18,430.6,203,4602568,"1,46,44,48,256.30",57071
22-May-20,EQ,315,315,306.55,317.15,311.9,310.6,310.11,430.6,203,3428549,"1,06,32,32,386.40",42340
26-May-20,EQ,312.4,320.55,309.6,310.6,315,315.6,315.77,429.85,203,4031218,"1,27,29,29,281.50",41459
27-May-20,EQ,313,328.5,313,315.6,326.9,326.65,322.09,429.85,203,6352246,"2,04,60,04,191.70",60255
28-May-20,EQ,329.5,334.15,327.45,326.65,331.5,331.8,330.51,429.85,203,5655407,"1,86,91,41,888.50",54908
29-May-20,EQ,330,330,322.05,331.8,327,323.8,324.02,429.85,203,12299544,"3,98,53,58,036.35",73080
01-Jun-20,EQ,326,336.35,326,323.8,329.55,329.35,332.52,429.85,203,2865760,"95,29,35,085.90",65567
02-Jun-20,EQ,330.2,341.65,325.8,329.35,340,339.95,336.42,429.85,203,4668325,"1,57,05,28,387.40",91274
03-Jun-20,EQ,344,344.95,336.85,339.95,341.85,339.55,340.18,429.85,203,5177337,"1,76,12,18,416.90",68953
04-Jun-20,EQ,341,342.9,337.6,339.55,340.1,339.2,339.88,429.85,203,4625619,"1,57,21,54,069.60",71641
05-Jun-20,EQ,340.1,347.15,337.2,339.2,342,341.15,343.16,429.85,203,2348630,"80,59,65,385.80",42841
08-Jun-20,EQ,343.1,347.65,340.95,341.15,342.25,343.3,343.89,429.5,203,2771175,"95,29,73,105.70",42835
09-Jun-20,EQ,344.5,351.35,341.3,343.3,346.05,346.05,346.59,429.5,203,3388265,"1,17,43,32,530.50",37841
10-Jun-20,EQ,346.05,349.75,340.4,346.05,348.45,346.55,344.84,429.5,203,2324983,"80,17,48,344.95",34849
11-Jun-20,EQ,348,348,336.8,346.55,339.9,338.65,341.36,429.5,203,4260956,"1,45,45,25,142.00",42835
12-Jun-20,EQ,330.65,347.8,327.7,338.65,346.85,345.3,336.73,429.5,203,3022904,"1,01,79,12,006.90",36684
15-Jun-20,EQ,346.5,346.85,336.85,345.3,340,339.75,341.23,428.85,203,2474153,"84,42,67,372.45",29718
16-Jun-20,EQ,347,347,335.9,339.75,340.7,340.8,341.24,428.85,203,2686021,"91,65,73,886.10",38327
17-Jun-20,EQ,341,346.45,337.55,340.8,341.95,341.3,342.98,428.85,203,2458021,"84,30,60,259.95",30813
18-Jun-20,EQ,340.35,345.5,335.15,341.3,344.4,343.8,340.18,428.85,203,2502231,"85,12,13,205.40",39030
19-Jun-20,EQ,344.4,354.9,341.5,343.8,350,348.9,350.32,428.85,203,6917610,"2,42,33,99,177.85",66707
22-Jun-20,EQ,350,353.9,346.7,348.9,349.5,349.6,350.5,428.85,203,2515842,"88,18,06,631.85",44862
23-Jun-20,EQ,350,357.2,346.75,349.6,355.3,355.65,352.28,428.85,203,2715738,"95,67,04,260.70",44860
24-Jun-20,EQ,355.35,360,349.6,355.65,352.2,351.85,355.39,428.85,203,2841354,"1,00,97,86,745.90",43565
25-Jun-20,EQ,349.8,351.5,342.2,351.85,345.5,344,346.14,428.85,203,5056963,"1,75,04,01,651.00",53008
26-Jun-20,EQ,348,349,339.6,344,343.8,343.2,343.63,428.85,203,3979519,"1,36,74,89,149.35",34835
29-Jun-20,EQ,341.35,344.05,339.1,343.2,343,342.65,341.58,428.85,203,3263757,"1,11,48,17,814.35",32309
30-Jun-20,EQ,344,349.8,342.4,342.65,346.1,343.9,346.62,428.85,203,2828820,"98,05,12,294.70",37742
01-Jul-20,EQ,345.9,347.05,341.3,343.9,344.45,343.8,344.36,428.85,203,1202080,"41,39,47,163.80",16762
02-Jul-20,EQ,346,349.6,344.9,343.8,347.05,346.8,347.1,428.85,203,1204040,"41,79,28,124.10",17692
03-Jul-20,EQ,350.2,366.8,348.65,346.8,361.1,360.4,361.91,428.85,203,9300948,"3,36,60,73,077.75",118487
06-Jul-20,EQ,365.1,366,356.1,360.4,361.75,359.45,361.88,428.85,203,3360577,"1,21,61,21,914.50",40192
07-Jul-20,EQ,361,361,344.25,359.45,346.75,345.95,348.58,428.85,203,4348443,"1,51,57,84,902.55",80880
08-Jul-20,EQ,349,349.65,339.3,345.95,340.3,340.6,342.09,428.85,203,3988479,"1,36,44,19,919.15",52182
09-Jul-20,EQ,341,346.5,340,340.6,344.55,343.15,342.95,428.85,203,3635224,"1,24,66,92,293.55",36509
10-Jul-20,EQ,341,342.7,332.25,343.15,335.5,334.95,334.65,428.85,203,3368457,"1,12,72,55,253.20",39357
13-Jul-20,EQ,336.25,339.65,331.5,334.95,332.7,332.2,334.26,428.85,203,2187706,"73,12,68,056.40",31252
14-Jul-20,EQ,332.7,333.5,319.7,332.2,319.9,320.4,324.19,428.85,203,3146962,"1,02,02,22,437.60",42784
15-Jul-20,EQ,320.55,324.5,312.9,320.4,314.8,315.15,319.49,428.85,203,3905269,"1,24,77,06,784.60",38445
16-Jul-20,EQ,317,317.45,309.6,315.15,311,311.2,312.24,428.85,203,3122868,"97,50,76,018.00",29815
17-Jul-20,EQ,312,318.9,310.6,311.2,314.1,313,314.19,428.85,203,3264266,"1,02,55,93,004.75",40107
20-Jul-20,EQ,316,318.7,310.35,313,317.95,317.3,314.8,428.85,203,4328922,"1,36,27,34,365.40",52748
21-Jul-20,EQ,320.9,325.35,313.6,317.3,315.05,314.7,319.26,428.85,203,4264604,"1,36,15,00,804.50",58381
22-Jul-20,EQ,316.2,318.65,309.1,314.7,312.4,312,314.27,428.85,203,3068805,"96,44,41,839.80",51867
23-Jul-20,EQ,313.4,315.95,311.6,312,314,313.9,314.08,428.85,203,2831417,"88,93,05,259.70",33682
24-Jul-20,EQ,313.9,313.95,305.35,313.9,309,309.4,308.72,428.85,203,2457671,"75,87,22,233.05",34453
27-Jul-20,EQ,309,310.7,298,309.4,309.7,309.05,305.75,428.85,203,5465737,"1,67,11,73,185.50",39366
28-Jul-20,EQ,309.9,320,308.05,309.05,318.5,318.6,316.69,428.85,203,4973848,"1,57,51,50,788.55",55198
29-Jul-20,EQ,317.05,323,312.05,318.6,315.2,315.15,317.46,428.85,203,4000041,"1,26,98,37,418.45",46866
30-Jul-20,EQ,317.85,321.75,310.1,315.15,312.25,312.5,315.96,428.85,203,2498355,"78,93,76,741.20",33810
31-Jul-20,EQ,315,318.15,312.75,312.5,315.15,315.2,315.45,428.85,203,1945026,"61,35,58,478.65",26265
03-Aug-20,EQ,311,319.55,308.65,315.2,313,311.35,313.84,428.85,203,2408531,"75,59,04,546.10",35461
04-Aug-20,EQ,313,317.75,311.35,311.35,315,314.95,314.91,428.85,203,3182644,"1,00,22,44,969.25",44577
05-Aug-20,EQ,316.4,328.8,313.4,314.95,327,327.1,322.29,428.85,203,8387056,"2,70,30,54,553.40",84896
06-Aug-20,EQ,330.1,330.9,321.4,327.1,324.05,323.8,325.66,428.85,203,3282020,"1,06,88,08,454.70",39724
07-Aug-20,EQ,323.9,328.35,321.55,323.8,326.45,326.65,325.34,428.85,203,2634956,"85,72,55,053.10",32454
10-Aug-20,EQ,329,333.95,325.7,326.65,331.25,331.3,331.19,428.85,203,3187734,"1,05,57,60,716.95",39656
